date, pm10, o3, no2, so2, co
2020/1/7, 28, 2, 38, , 
2020/1/8, 43, 13, 44, , 
2020/1/9, 47, 24, 33, , 
2020/1/10, 34, 22, 24, , 
2020/1/11, 31, 11, 26, , 
2020/1/12, 37, 8, 32, , 
2020/1/13, 26, 10, 47, , 
2020/1/14, 37, 18, 42, , 
2020/1/15, 37, 20, 31, , 
2020/1/16, 32, 21, 39, , 
2020/1/17, 39, 20, 30, , 
2020/1/18, 18, 13, 27, , 
2020/1/19, 18, 14, 21, , 
2020/1/20, 20, 12, 18, , 
2020/1/21, 31, 4, 26, , 
2020/1/22, 46, 8, 21, , 
2020/1/23, 37, 5, 33, , 
2020/1/24, 50, 9, 35, , 
2020/1/25, 53, 6, 31, , 
2020/1/26, 56, 20, 36, , 
2020/1/27, 46, 28, 23, , 
2020/1/28, 17, 28, 28, , 
2020/1/29, 20, 23, 35, , 
2020/1/30, 28, 25, 19, , 
2020/1/31, 15, 24, 21, , 
2020/2/1, 15, 27, 11, , 
2020/2/2, 6, 30, 31, , 
2020/2/3, 10, 26, 23, , 
2020/2/4, 16, 26, 27, , 
2020/2/5, 25, 19, 37, , 
2020/2/6, 35, 15, 28, , 
2020/2/7, 37, 17, 35, , 
2020/2/8, 42, , 33, , 
2020/2/9, 22, , 15, , 
2020/2/10, 14, , 19, , 
2020/2/11, 7, , 22, , 
2020/2/12, 14, , 27, , 
2020/2/13, 14, , 27, , 
2020/2/14, 21, , 29, , 
2020/2/15, 17, , 32, , 
2020/2/16, 15, , 24, , 
2020/2/17, 15, , 25, , 
2020/2/18, 13, , 25, , 
2020/2/19, 13, , 36, , 
2020/2/20, 21, , 29, , 
2020/2/21, 15, , 28, , 
2020/2/22, 13, , 8, , 
2020/2/23, 7, 16, 24, , 
2020/2/24, 13, 28, 20, , 
2020/2/25, 11, 32, 20, , 
2020/2/26, 8, 29, 22, , 
2020/2/27, 12, 28, 28, , 
2020/2/28, 18, 32, 24, , 
2020/2/29, 25, 34, 17, , 
2020/3/1, 8, 28, 19, , 
2020/3/2, 8, 23, 40, , 
2020/3/3, 20, 27, 35, , 
2020/3/4, 22, 21, 28, , 
2020/3/5, 16, 29, 18, , 
2020/3/6, 7, 29, 22, , 
2020/3/7, 24, 35, 30, , 
2020/3/8, 20, 25, 32, , 
2020/3/9, 16, 26, 23, , 
2020/3/10, 10, 23, 17, , 
2020/3/11, 12, 22, 22, , 
2020/3/12, 16, 28, 28, , 
2020/3/13, 14, 29, 22, , 
2020/3/14, 16, 30, 14, , 
2020/3/15, 14, 29, 36, , 
2020/3/16, 26, 20, 34, , 
2020/3/17, 30, 31, 26, , 
2020/3/18, 31, 34, 25, , 
2020/3/19, 24, 35, 29, , 
2020/3/20, 30, 23, 7, , 
2020/3/21, 9, 33, 2, , 
2020/3/22, 7, 31, 7, , 
2020/3/23, 8, 34, 9, , 
2020/3/24, 21, 35, 8, , 
2020/3/25, 20, 29, 8, , 
2020/3/26, 18, 33, 16, , 
2020/3/27, 39, 39, 27, , 
2020/3/28, 62, 32, 17, , 
2020/3/29, 56, , , , 
2019/10/1, 20, 23, 31, , 
2019/10/2, 13, 24, 24, , 
2019/10/3, 10, 17, 28, , 
2019/10/4, 15, 23, 22, , 
2019/10/5, 12, 13, 15, , 
2019/10/6, 13, 7, 23, , 
2019/10/7, 13, 10, 31, , 
