date, pm10, o3, no2, so2, co
2020/10/20, 15, 7, 13, , 
2020/10/21, 19, 2, 16, , 
2020/10/22, 22, 20, 11, , 
2020/10/23, 21, 20, 5, , 
2020/10/24, 8, 10, 5, , 
2020/10/25, 15, 21, 6, , 
2020/10/26, 5, 19, 9, , 
2020/10/27, 8, 20, 8, , 
2020/10/28, 8, 21, 5, , 
2020/10/29, 6, 19, 4, , 
2020/10/30, 4, 14, 6, , 
2020/10/31, 9, 12, 8, , 
2020/11/1, 13, 18, 7, , 
2020/11/2, 10, 18, 8, , 
2020/11/3, 6, 16, 6, , 
2020/11/4, 12, 12, 8, , 
2020/11/5, 9, 5, 8, , 
2020/11/6, 14, 3, 6, , 
2020/11/7, 11, 2, 6, , 
2020/11/8, 9, 1, 7, , 
2020/11/9, 8, 1, 8, , 
2020/11/10, 8, 2, 8, , 
2020/11/11, 15, 13, 8, , 
2020/11/12, 12, 14, 12, , 
2020/11/13, 14, 11, 9, , 
2020/11/14, 11, 11, 8, , 
2020/11/15, 11, 23, 5, , 
2020/11/16, 7, 21, 9, , 
2020/11/17, 11, 5, 11, , 
2020/11/18, 19, 22, 8, , 
2020/11/19, 9, 22, 6, , 
2020/11/20, 9, 19, 11, , 
2020/11/21, 12, 8, 14, , 
2020/11/22, 14, 10, 15, , 
2020/11/23, 21, 11, 6, , 
2020/11/24, 12, 5, 9, , 
2020/11/25, 17, 2, 13, , 
2020/11/26, 13, 2, 10, , 
2020/11/27, 11, 11, 9, , 
2020/11/28, 14, 17, 4, , 
2020/11/29, 12, 5, 11, , 
2020/11/30, 16, 4, 12, , 
2020/12/1, 12, 10, 8, , 
2020/12/2, 23, 10, 13, , 
2020/12/3, 18, 15, 13, , 
2020/12/4, 16, 7, 14, , 
2020/12/5, 18, 11, 11, , 
2020/12/6, 12, 14, 10, , 
2020/12/7, 4, 3, 15, , 
2020/12/8, 12, 2, 12, , 
2020/12/9, 15, 4, 11, , 
2020/12/10, 7, 5, 9, , 
2020/12/11, 11, 16, 9, , 
2020/12/12, 9, 14, 5, , 
2020/12/13, 4, 5, 9, , 
2020/12/14, 8, , 9, , 
2020/12/15, 12, , 8, , 
2020/12/16, 13, 1, 10, , 
2020/12/17, 10, 2, 9, , 
2020/12/18, 9, 2, 10, , 
2020/12/19, 9, 4, 9, , 
2020/12/20, 13, 4, 10, , 
2020/12/21, 12, 20, 3, , 
2020/12/22, 3, 18, 10, , 
2020/12/23, 3, 27, 2, , 
2020/12/24, 1, 22, 2, , 
2020/12/25, 2, 26, 4, , 
2020/12/26, 3, 15, 8, , 
2020/12/27, 8, 18, 12, , 
2020/12/28, 12, 22, 10, , 
2020/12/29, 5, 22, 10, , 
2020/12/30, 7, 16, 9, , 
2020/12/31, 11, 14, 13, , 
2021/1/1, 27, 10, 7, , 
2021/1/2, 26, 11, 7, , 
2021/1/3, 18, 12, 6, , 
2020/7/1, 11, 26, 3, , 
2020/7/2, 7, 32, 3, , 
2020/7/3, 7, 38, 3, , 
2020/7/4, 9, 29, 2, , 
2020/7/5, 8, 30, 2, , 
2020/7/6, 8, 35, 4, , 
2020/7/7, 11, 38, 4, , 
2020/7/8, 13, 36, 4, , 
2020/7/9, 13, 44, 4, , 
2020/7/10, 14, 24, 2, , 
2020/7/11, 8, 36, 2, , 
2020/7/12, 7, 39, 4, , 
2020/7/13, 8, 41, 6, , 
2020/7/14, 12, 40, 6, , 
2020/7/15, 15, 19, 4, , 
2020/7/16, 7, 35, 3, , 
2020/7/17, 8, 32, 6, , 
2020/7/18, 12, 43, 2, , 
2020/7/19, 10, 47, 5, , 
2020/7/20, 12, 45, 8, , 
2020/7/21, 19, 48, 7, , 
2020/7/22, 18, 45, 7, , 
2020/7/23, 19, 45, 5, , 
2020/7/24, 13, 38, 3, , 
2020/7/25, 14, 26, 4, , 
2020/7/26, 10, 32, 2, , 
2020/7/27, 6, 38, 4, , 
2020/7/28, 13, 38, 4, , 
2020/7/29, 15, 56, 7, , 
2020/7/30, 28, 67, 9, , 
2020/7/31, 32, 64, 6, , 
2020/8/1, 30, 38, 4, , 
2020/8/2, 13, 24, 4, , 
2020/8/3, 10, 21, 4, , 
2020/8/4, 6, 31, 3, , 
2020/8/5, 7, 39, 4, , 
2020/8/6, 10, 44, 5, , 
2020/8/7, 17, 48, 6, , 
2020/8/8, 23, 49, 6, , 
2020/8/9, 24, 46, 7, , 
2020/8/10, 25, 49, 7, , 
2020/8/11, 23, 45, 6, , 
2020/8/12, 35, 37, 6, , 
2020/8/13, 23, 38, 3, , 
2020/8/14, 12, 42, 3, , 
2020/8/15, 11, 39, 5, , 
2020/8/16, 11, 38, 3, , 
2020/8/17, 7, 25, 6, , 
2020/8/18, 7, 37, 4, , 
2020/8/19, 5, 39, 5, , 
2020/8/20, 8, 53, 6, , 
2020/8/21, 15, 27, 5, , 
2020/8/22, 13, 28, 3, , 
2020/8/23, 7, 31, 6, , 
2020/8/24, 8, 36, 7, , 
2020/8/25, 9, 33, 2, , 
2020/8/26, 9, 34, 5, , 
2020/8/27, 13, 38, 5, , 
2020/8/28, 11, 21, 4, , 
2020/8/29, 5, 28, 3, , 
2020/8/30, 6, 22, 5, , 
2020/8/31, 5, 23, 5, , 
2020/9/1, 9, 27, 6, , 
2020/9/2, 8, 36, 7, , 
2020/9/3, 7, 33, 6, , 
2020/9/4, 10, 41, 6, , 
2020/9/5, 13, 26, 4, , 
2020/9/6, 13, 17, 7, , 
2020/9/7, 13, 24, 5, , 
2020/9/8, 10, 29, 9, , 
2020/9/9, 12, 35, 8, , 
2020/9/10, 13, 32, 6, , 
2020/9/11, 16, 41, 8, , 
2020/9/12, 17, 40, 7, , 
2020/9/13, 15, 31, 7, , 
2020/9/14, 19, 43, 8, , 
2020/9/15, 23, 56, 8, , 
2020/9/16, 34, 39, 9, , 
2020/9/17, 29, 28, 4, , 
2020/9/18, 11, 25, 7, , 
2020/9/19, 15, 31, 6, , 
2020/9/20, 18, 34, 9, , 
2020/9/21, 17, 32, 10, , 
2020/9/22, 20, 23, 7, , 
2020/9/23, 10, 26, 7, , 
2020/9/24, 7, 25, 4, , 
2020/9/25, 4, 19, 2, , 
2020/9/26, 3, 23, 2, , 
2020/9/27, 3, 7, 12, , 
2020/9/28, 8, 14, 6, , 
2020/9/29, 7, 20, 7, , 
2020/9/30, 10, 13, 10, , 
2020/4/1, 19, 38, 15, , 
2020/4/2, 23, 40, 9, , 
2020/4/3, 24, 38, 6, , 
2020/4/4, 18, 37, 3, , 
2020/4/5, 16, 45, 9, , 
2020/4/6, 19, 49, 13, , 
2020/4/7, 24, 48, 10, , 
2020/4/8, 25, 54, 12, , 
2020/4/9, 24, 54, 8, , 
2020/4/10, 24, 43, 7, , 
2020/4/11, 16, 48, 6, , 
2020/4/12, 18, 45, 3, , 
2020/4/13, 14, 34, 4, , 
2020/4/14, 12, 36, 7, , 
2020/4/15, 18, 45, 11, , 
2020/4/16, 23, 53, 10, , 
2020/4/17, 22, 47, 8, , 
2020/4/18, 32, 40, 3, , 
2020/4/19, 23, 38, 2, , 
2020/4/20, 15, 41, 2, , 
2020/4/21, 15, 42, 3, , 
2020/4/22, 14, 45, 4, , 
2020/4/23, 16, 56, 8, , 
2020/4/24, 20, 52, 4, , 
2020/4/25, 20, 45, 3, , 
2020/4/26, 11, 39, 7, , 
2020/4/27, 13, 37, 7, , 
2020/4/28, 13, 27, 4, , 
2020/4/29, 5, 32, 3, , 
2020/4/30, 4, 31, 1, , 
2020/5/1, 4, 29, 2, , 
2020/5/2, 5, 39, 2, , 
2020/5/3, 5, 27, 5, , 
2020/5/4, 7, 24, 5, , 
2020/5/5, 12, 40, 5, , 
2020/5/6, 7, 40, 11, , 
2020/5/7, 15, 50, 10, , 
2020/5/8, 12, 45, 8, , 
2020/5/9, 18, 37, 4, , 
2020/5/10, 16, 27, 6, , 
2020/5/11, 13, 29, 2, , 
2020/5/12, 4, 22, 5, , 
2020/5/13, 11, 31, 4, , 
2020/5/14, 6, 33, 3, , 
2020/5/15, 10, 41, 4, , 
2020/5/16, 10, 51, 7, , 
2020/5/17, 13, 55, 7, , 
2020/5/18, 13, 50, 9, , 
2020/5/19, 16, 34, 4, , 
2020/5/20, 14, 40, 6, , 
2020/5/21, 15, 45, 5, , 
2020/5/22, 12, 32, 3, , 
2020/5/23, 11, 33, 1, , 
2020/5/24, 5, 33, 3, , 
2020/5/25, 9, 32, 5, , 
2020/5/26, 11, 40, 6, , 
2020/5/27, 10, 33, 6, , 
2020/5/28, 13, 32, 3, , 
2020/5/29, 8, 31, 4, , 
2020/5/30, 10, 36, 3, , 
2020/5/31, 10, 41, 2, , 
2020/6/1, 10, 42, 7, , 
2020/6/2, 16, 49, 5, , 
2020/6/3, 15, 38, 4, , 
2020/6/4, 9, 32, 2, , 
2020/6/5, 4, 21, 1, , 
2020/6/6, 7, 25, 3, , 
2020/6/7, 6, 31, 2, , 
2020/6/8, 8, 23, 2, , 
2020/6/9, 10, 21, 5, , 
2020/6/10, 16, 30, 2, , 
2020/6/11, 6, 42, 3, , 
2020/6/12, 8, 48, 4, , 
2020/6/13, 14, 40, 1, , 
2020/6/14, 4, 31, 3, , 
2020/6/15, 5, 29, 4, , 
2020/6/16, 9, 34, 5, , 
2020/6/17, 13, 35, 2, , 
2020/6/18, 4, 28, 3, , 
2020/6/19, 4, 30, 3, , 
2020/6/20, 7, 39, 2, , 
2020/6/21, 8, 28, 5, , 
2020/6/22, 10, 44, 4, , 
2020/6/23, 14, 47, 4, , 
2020/6/24, 15, 39, 3, , 
2020/6/25, 10, 46, 3, , 
2020/6/26, 14, 44, 1, , 
2020/6/27, 10, 38, 1, , 
2020/6/28, 9, 22, 3, , 
2020/6/29, 7, 34, 3, , 
2020/6/30, 8, 30, 5, , 
2020/1/1, 111, 3, 13, , 
2020/1/2, 31, 21, 13, , 
2020/1/3, 13, 27, 3, , 
2020/1/4, 5, 24, 7, , 
2020/1/5, 10, 9, 14, , 
2020/1/6, 14, 14, 17, , 
2020/1/7, 12, 1, 22, , 
2020/1/8, 13, 19, 18, , 
2020/1/9, 14, 28, 10, , 
2020/1/10, 7, 22, 7, , 
2020/1/11, 10, 12, 13, , 
2020/1/12, 16, 10, 18, , 
2020/1/13, 12, 13, 23, , 
2020/1/14, 16, 7, 25, , 
2020/1/15, 23, 20, 15, , 
2020/1/16, 16, 25, 16, , 
2020/1/17, 15, 21, 9, , 
2020/1/18, 9, 19, 12, , 
2020/1/19, 12, 14, 12, , 
2020/1/20, 13, 12, 7, , 
2020/1/21, 15, 6, 18, , 
2020/1/22, 24, 9, 14, , 
2020/1/23, 24, 3, 18, , 
2020/1/24, 26, 6, 19, , 
2020/1/25, 25, 7, 15, , 
2020/1/26, 25, 22, 16, , 
2020/1/27, 18, 30, 7, , 
2020/1/28, 7, 29, 4, , 
2020/1/29, 4, 28, 10, , 
2020/1/30, 7, 25, 3, , 
2020/1/31, 4, 25, 5, , 
2020/2/1, 4, 27, 1, , 
2020/2/2, 2, 30, 5, , 
2020/2/3, 3, 26, 4, , 
2020/2/4, 9, 24, 7, , 
2020/2/5, 6, 20, 16, , 
2020/2/6, 14, 16, 17, , 
2020/2/7, 23, 13, 19, , 
2020/2/8, 23, 31, 10, , 
2020/2/9, 8, 30, 1, , 
2020/2/10, 6, 30, 2, , 
2020/2/11, 3, 28, 3, , 
2020/2/12, 4, 32, 9, , 
2020/2/13, 6, 32, 4, , 
2020/2/14, 4, 17, 12, , 
2020/2/15, 9, 21, 11, , 
2020/2/16, 8, 35, 5, , 
2020/2/17, 6, 31, 2, , 
2020/2/18, 4, 28, 4, , 
2020/2/19, 4, 28, 11, , 
2020/2/20, 8, 28, 4, , 
2020/2/21, 5, 30, 6, , 
2020/2/22, 7, 32, 1, , 
2020/2/23, 4, 26, 6, , 
2020/2/24, 5, 29, 2, , 
2020/2/25, 4, 32, 2, , 
2020/2/26, 2, 31, 3, , 
2020/2/27, 3, 30, 4, , 
2020/2/28, 6, 28, 8, , 
2020/2/29, 11, 33, 2, , 
2020/3/1, 5, 29, 5, , 
2020/3/2, 3, 25, 7, , 
2020/3/3, 6, 31, 7, , 
2020/3/4, 9, 24, 10, , 
2020/3/5, 8, 29, 2, , 
2020/3/6, 3, 28, 4, , 
2020/3/7, 9, 36, 7, , 
2020/3/8, 11, 26, 8, , 
2020/3/9, 7, 26, 4, , 
2020/3/10, 5, 23, 2, , 
2020/3/11, 4, 24, 3, , 
2020/3/12, 6, 30, 5, , 
2020/3/13, 5, 28, 9, , 
2020/3/14, 11, 9, 6, , 
2020/3/15, 12, 17, 14, , 
2020/3/16, 15, 21, 13, , 
2020/3/17, 19, 32, 10, , 
2020/3/18, 22, 33, 12, , 
2020/3/19, 22, 33, 11, , 
2020/3/20, 29, 22, 2, , 
2020/3/21, 10, 31, , , 
2020/3/22, 6, 30, 2, , 
2020/3/23, 8, 33, 3, , 
2020/3/24, 18, 33, 3, , 
2020/3/25, 17, 28, 3, , 
2020/3/26, 16, 32, 5, , 
2020/3/27, 23, 37, 8, , 
2020/3/28, 53, 32, 6, , 
2020/3/29, 51, , , , 
2019/10/1, 9, 24, 5, , 
2019/10/2, 4, 25, 3, , 
2019/10/3, 6, 21, 6, , 
2019/10/4, 7, 23, 4, , 
2019/10/5, 6, 18, 5, , 
2019/10/6, 8, 12, 6, , 
2019/10/7, 6, 15, 10, , 
2019/10/8, 6, 24, 7, , 
2019/10/9, 5, 24, 4, , 
2019/10/10, 4, 24, 8, , 
2019/10/11, 8, 29, 12, , 
2019/10/12, 13, 15, 9, , 
2019/10/13, 14, 15, 11, , 
2019/10/14, 19, 14, 9, , 
2019/10/15, 20, 32, 5, , 
2019/10/16, 5, 23, 11, , 
2019/10/17, 11, 23, 14, , 
2019/10/18, 12, 20, 9, , 
2019/10/19, 13, 15, 6, , 
2019/10/20, 12, 20, 8, , 
2019/10/21, 19, 5, 13, , 
2019/10/22, 27, 7, 7, , 
2019/10/23, 14, 2, 9, , 
2019/10/24, 14, 20, 10, , 
2019/10/25, 14, 15, 10, , 
2019/10/26, 17, 31, 6, , 
2019/10/27, 12, 17, 7, , 
2019/10/28, 9, 12, 5, , 
2019/10/29, 14, 18, 5, , 
2019/10/30, 12, 14, 6, , 
2019/10/31, 19, 5, 6, , 
2019/11/1, 11, 14, 9, , 
2019/11/2, 6, 16, 7, , 
2019/11/3, 9, 24, 8, , 
2019/11/4, 3, 26, 8, , 
2019/11/5, 5, 18, 10, , 
2019/11/6, 4, 16, 9, , 
2019/11/7, 11, 11, 11, , 
2019/11/8, 12, 19, 8, , 
2019/11/9, 7, 11, 7, , 
2019/11/10, 9, 6, 8, , 
2019/11/11, 9, 19, 12, , 
2019/11/12, 6, 19, 13, , 
2019/11/13, 9, 14, 10, , 
2019/11/14, 9, 15, 16, , 
2019/11/15, 11, 14, 12, , 
2019/11/16, 16, 14, 6, , 
2019/11/17, 16, 22, 11, , 
2019/11/18, 3, 9, 15, , 
2019/11/19, 15, 7, 10, , 
2019/11/20, 26, 4, 12, , 
2019/11/21, 28, 5, 10, , 
2019/11/22, 11, 14, 10, , 
2019/11/23, 5, 8, 13, , 
2019/11/24, 14, 1, 13, , 
2019/11/25, 22, 3, 11, , 
2019/11/26, 13, 2, 15, , 
2019/11/27, 9, 27, 6, , 
2019/11/28, 2, 25, 6, , 
2019/11/29, 5, 22, 10, , 
2019/11/30, 10, 14, 8, , 
2019/12/1, 12, 15, 13, , 
2019/12/2, 19, 18, 17, , 
2019/12/3, 14, 10, 16, , 
2019/12/4, 19, 1, 20, , 
2019/12/5, 26, 2, 21, , 
2019/12/6, 19, 28, 4, , 
2019/12/7, 3, 26, 6, , 
2019/12/8, 4, 31, 4, , 
2019/12/9, 5, 22, 11, , 
2019/12/10, 17, 10, 18, , 
2019/12/11, 14, 21, 12, , 
2019/12/12, 5, 28, 9, , 
2019/12/13, 6, 34, 3, , 
2019/12/14, 4, 31, 4, , 
2019/12/15, 4, 9, 15, , 
2019/12/16, 27, 19, 15, , 
2019/12/17, 16, 14, 21, , 
2019/12/18, 24, 1, 15, , 
2019/12/19, 25, 17, 16, , 
2019/12/20, 9, 26, 10, , 
2019/12/21, 5, 25, 7, , 
2019/12/22, 4, 26, 3, , 
2019/12/23, 2, 23, 4, , 
2019/12/24, 4, 27, 2, , 
2019/12/25, 4, 21, 8, , 
2019/12/26, 6, 14, 10, , 
2019/12/27, 9, 20, 10, , 
2019/12/28, 8, 13, 11, , 
2019/12/29, 12, , , , 
2019/7/1, 18, 47, 4, , 
2019/7/2, 13, 46, 4, , 
2019/7/3, 14, 55, 6, , 
2019/7/4, 17, 51, 10, , 
